subject,session,run,task,file_number,has_pupil,has_gaze,has_eyemovie,has_log,empty_log,checked,DO_NOT_USE,no_pupil_data,pupilConf_thresh,Fails_DriftCorr,Pass_DriftCorr,Flag_someBadLevels,notes,FIX_IT?
sub-06,ses-005,run-01,task-mariostars,20220720-161436,TRUE,TRUE,TRUE,TRUE,TRUE,1,,,,,1,,duplicate of run and session,
sub-06,ses-007,run-01,task-mariostars,20220803-151913,FALSE,FALSE,FALSE,TRUE,FALSE,,1,1,,,,,,
sub-06,ses-007,run-02,task-mariostars,20220803-153240,TRUE,TRUE,TRUE,TRUE,FALSE,,1,1,,,,,,
sub-06,ses-007,run-03,task-mariostars,20220803-153240,TRUE,TRUE,TRUE,TRUE,FALSE,,1,1,,,,,,
sub-06,ses-007,run-04,task-mariostars,20220803-153240,TRUE,TRUE,TRUE,TRUE,FALSE,,1,1,,,,,,
sub-06,ses-009,run-01,task-mariostars,20220817-154622,TRUE,TRUE,TRUE,TRUE,TRUE,1,,,,,1,,,
sub-06,ses-009,run-02,task-mariostars,20220817-160235,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-06,ses-010,run-01,task-mariostars,20220824-153706,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-06,ses-010,run-02,task-mariostars,20220824-153706,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,,,,,,"VERY messy, gaze distortion",
sub-06,ses-010,run-03,task-mariostars,20220824-153706,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-06,ses-011,run-01,task-mariostars,20220902-111621,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-06,ses-011,run-02,task-mariostars,20220902-111621,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-06,ses-011,run-03,task-mariostars,20220902-111621,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,1,,
sub-06,ses-012,run-01,task-mariostars,20220907-151630,TRUE,TRUE,TRUE,TRUE,TRUE,1,,,,,1,,,
sub-06,ses-012,run-02,task-mariostars,20220907-151630,TRUE,TRUE,TRUE,TRUE,TRUE,1,,,,,1,1,small patch of low conf,
sub-06,ses-012,run-02,task-mariostars,20220907-155628,TRUE,TRUE,TRUE,TRUE,TRUE,1,,,,,1,,,
sub-06,ses-012,run-04,task-mariostars,20220907-161049,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-06,ses-013,run-01,task-mariostars,20220909-154634,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-06,ses-013,run-02,task-mariostars,20220909-154634,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-06,ses-013,run-03,task-mariostars,20220909-154634,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-06,ses-013,run-04,task-mariostars,20220909-154634,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-06,ses-014,run-01,task-mariostars,20220914-154800,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-06,ses-014,run-02,task-mariostars,20220914-160848,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,some noticeable drift in y,
sub-06,ses-015,run-01,task-mariostars,20220916-153740,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-06,ses-015,run-02,task-mariostars,20220916-153740,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-06,ses-015,run-03,task-mariostars,20220916-153740,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,sudden shift in y during long level,
sub-06,ses-015,run-04,task-mariostars,20220916-153740,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,1,,
